date,value
2023-01-02,4.565403304561492e-10
2023-01-03,4.5375807239163307e-10
2023-01-04,4.4544354838709677e-10
2023-01-05,4.126128953503024e-10
2023-01-06,4.3080645161290323e-10
2023-01-09,4.170161290322581e-10
2023-01-10,4.0225806451612905e-10
2023-01-11,3.813628953503024e-10
2023-01-12,4.008629189768145e-10
2023-01-13,4.02008056640625e-10
2023-01-16,4.1997582220262095e-10
2023-01-17,4.2862903225806454e-10
2023-01-18,4.342096931703629e-10
2023-01-19,4.3729031470514113e-10
2023-01-20,4.4276611328125e-10
2023-01-23,4.358387018019153e-10
2023-01-24,4.3278225806451613e-10
2023-01-25,4.272419197328629e-10
2023-01-26,4.2185483870967745e-10
2023-01-27,4.1869353263608873e-10
2023-01-30,4.109919197328629e-10
2023-01-31,4.013387175529234e-10
2023-02-01,3.7407935732886905e-10
2023-02-02,3.771587456597222e-10
2023-02-03,3.9663492838541664e-10
2023-02-06,3.9128572978670636e-10
2023-02-07,3.575634765625e-10
2023-02-08,3.575634765625e-10
2023-02-15,3.928968253968254e-10
2023-02-16,3.9750794425843253e-10
2023-02-17,3.989523654513889e-10
2023-02-20,4.086428493923611e-10
2023-02-21,4.0868253193204367e-10
2023-02-22,4.0249205574156745e-10
2023-02-23,4.0366668216765875e-10
2023-02-24,4.0149204799107143e-10
2023-02-27,4.1249205574156746e-10
2023-02-28,4.156587146577381e-10
2023-03-01,4.126124182412791e-10
2023-03-02,4.078604575460271e-10
2023-03-03,4.0406200793362405e-10
2023-03-06,4.180077367974806e-10
2023-03-07,4.1720154281734496e-10
2023-03-08,4.2158138777858526e-10
2023-03-09,4.2218606165213176e-10
2023-03-10,4.1741086028343025e-10
2023-03-13,4.1265117793120154e-10
2023-03-14,4.036666515261628e-10
2023-03-15,3.970232633842054e-10
2023-03-16,4.0539535640746126e-10
2023-03-17,3.9817053506540697e-10
2023-03-20,3.8569767441860463e-10
2023-03-21,3.8035659671753874e-10
2023-03-22,3.876821781128876e-10
2023-03-23,3.924031007751938e-10
2023-03-24,3.9007751937984494e-10
2023-03-27,3.8742634144864343e-10
2023-03-28,3.7298449612403103e-10
2023-03-29,3.831938135901163e-10
2023-03-30,3.795426432291667e-10
2023-03-31,3.73093015685562e-10
2023-04-03,3.666287878787879e-10
2023-04-04,3.7758334073153407e-10
2023-04-05,3.727196895714962e-10
2023-04-06,3.721818033854167e-10
2023-04-07,3.730757649739583e-10
2023-04-10,3.857802882339015e-10
2023-04-11,3.8820453065814396e-10
2023-04-12,3.8985606800426134e-10
2023-04-13,3.890606134588068e-10
2023-04-14,3.8582575017755684e-10
2023-04-17,3.83287871389678e-10
2023-04-18,3.80204560250947e-10
2023-04-19,3.8342425722064394e-10
2023-04-20,3.7971968217329544e-10
2023-04-24,3.8051513671875e-10
2023-04-25,3.70530303030303e-10
2023-04-26,3.623863636363636e-10
2023-04-27,3.628484922466856e-10
2023-04-28,3.498409016927083e-10
2023-05-02,3.337926070601852e-10
2023-05-03,3.322962962962963e-10
2023-05-04,3.321777705439815e-10
2023-05-05,3.259851707175926e-10
2023-05-08,3.379185112847222e-10
2023-05-09,3.360148292824074e-10
2023-05-10,3.329259259259259e-10
2023-05-11,3.5911111111111113e-10
2023-05-12,3.552296368634259e-10
2023-05-15,3.334222366898148e-10
2023-05-16,3.399777922453704e-10
2023-05-17,3.453111255787037e-10
2023-05-18,3.3345927372685187e-10
2023-05-22,3.308296440972222e-10
2023-05-23,3.311851851851852e-10
2023-05-24,3.2777036313657406e-10
2023-05-25,3.28e-10
2023-05-26,3.393111255787037e-10
2023-05-29,3.532296368634259e-10
2023-05-30,3.667703631365741e-10
2023-05-31,3.619925853587963e-10
2023-06-01,3.568201298336331e-10
2023-06-02,3.679856115107914e-10
2023-06-05,3.865251939073741e-10
2023-06-06,3.876834391861511e-10
2023-06-07,4.0008634498651077e-10
2023-06-08,3.99568345323741e-10
2023-06-09,4.047841726618705e-10
2023-06-12,4.020863309352518e-10
2023-06-13,3.905827408385791e-10
2023-06-14,3.8566905069694245e-10
2023-06-15,3.9535971223021585e-10
2023-06-16,3.9392086330935253e-10
2023-06-19,3.790863168839928e-10
2023-06-20,3.7781295666591724e-10
2023-06-21,3.7315106508543167e-10
2023-06-22,3.905251658048561e-10
2023-06-23,4.016402737185252e-10
2023-06-26,4.124388418952338e-10
2023-06-27,4.1432374803282376e-10
2023-07-03,4.2361266230193664e-10
2023-07-04,4.228098522777289e-10
2023-07-05,4.300563242737676e-10
2023-07-06,4.324718378631162e-10
2023-07-07,4.357112744828345e-10
2023-07-10,4.415774579115317e-10
2023-07-11,4.4809154241857394e-10
2023-07-12,4.46626767440581e-10
2023-07-13,4.484788663622359e-10
