date,value
2023-01-01,0.0000010
2023-02-01,0.0000011
2023-03-01,0.0000012
2023-04-01,0.0000013
2023-05-01,0.0000012
2023-06-01,0.0000014
2023-07-01,0.0000015
2023-08-01,0.0000016
2023-09-01,0.0000017
2023-10-01,0.0000018
2023-11-01,0.0000019
2023-12-01,0.0000020
2024-01-01,0.0000021
2024-02-01,0.0000022
2024-03-01,0.0000023
2024-04-01,0.0000024
2024-05-01,0.0000025
2024-06-01,0.0000026
2024-07-01,0.0000027
2024-08-01,0.0000028
2024-09-01,0.0000029
2024-10-01,0.0000030
2024-11-01,0.0000031
2024-12-01,0.0000032
2025-01-01,0.0000033
2025-02-01,0.0000034
2025-03-01,0.0000035
2025-04-01,0.0000036
2025-05-01,0.0000037
2025-06-01,0.0000038
2025-07-01,0.0000039
2025-08-01,0.0000040
2025-09-01,0.0000041
2025-10-01,0.0000042
2025-11-01,0.0000043
2025-12-01,0.0000044
2026-01-01,0.0000045
2026-02-01,0.0000046
2026-03-01,0.0000047
