date,value
2023-01-01,12400000000000
2023-02-01,12600000000000
2023-03-01,12900000000000
2023-04-01,13200000000000
2023-05-01,13500000000000
2023-06-01,13900000000000
2023-07-01,14200000000000
2023-08-01,14600000000000
2023-09-01,14900000000000
2023-10-01,15200000000000
2023-11-01,15600000000000
2023-12-01,16000000000000
2024-01-01,16400000000000
2024-02-01,16800000000000
2024-03-01,17200000000000
2024-04-01,17600000000000
2024-05-01,18000000000000
2024-06-01,18500000000000
2024-07-01,18900000000000
2024-08-01,19300000000000
2024-09-01,19700000000000
2024-10-01,20100000000000
2024-11-01,20600000000000
2024-12-01,21000000000000
2025-01-01,21500000000000
2025-02-01,22000000000000
2025-03-01,22400000000000
2025-04-01,22900000000000
2025-05-01,23400000000000
2025-06-01,23900000000000
2025-07-01,24400000000000
2025-08-01,24900000000000
2025-09-01,25500000000000
2025-10-01,26000000000000
2025-11-01,26600000000000
2025-12-01,27200000000000
2026-01-01,27800000000000
2026-02-01,28400000000000
2026-03-01,29000000000000
