date,value
2025-01-03,26.8
2025-01-10,27.1
2025-01-17,27.4
2025-01-24,27.0
2025-01-31,26.7
2025-02-07,26.5
2025-02-14,26.2
2025-02-21,26.0
2025-02-28,25.8
2025-03-07,25.6
2025-03-14,25.4
2025-03-21,25.2
2025-03-28,25.0
2025-04-04,24.9
2025-04-11,24.7
2025-04-18,24.6
2025-04-25,24.4
2025-05-02,24.3
2025-05-09,24.2
2025-05-16,24.0
2025-05-23,23.9
2025-05-30,23.8
2025-06-06,23.7
2025-06-13,23.6
2025-06-20,23.5
2025-06-27,23.4
2025-07-04,23.3
2025-07-11,23.2
2025-07-18,23.1
2025-07-25,23.0
2025-08-01,22.9
2025-08-08,22.8
2025-08-15,22.7
2025-08-22,22.6
2025-08-29,22.5
2025-09-05,22.4
2025-09-12,22.3
2025-09-19,22.2
2025-09-26,22.1
2025-10-03,22.0
2025-10-10,21.9
2025-10-17,21.8
2025-10-24,21.7
2025-10-31,21.6
2025-11-07,21.5
2025-11-14,21.4
2025-11-21,21.3
2025-11-28,21.2
2025-12-05,21.1
2025-12-12,21.0
2025-12-19,20.9
2025-12-26,20.8
2026-01-02,20.7
2026-01-09,20.6
2026-01-16,20.5
2026-01-23,20.4
2026-01-30,20.3
2026-02-06,20.2
2026-02-13,20.1
2026-02-20,20.0
2026-02-27,19.9
2026-03-06,19.8
